calc	component	h2	se	LambdaGC	intercept	intercept_se
IC	10	0.0672	0.0052	1.1555	1.0239	0.0074
IC	11	0.0259	0.0043	1.071	1.0085	0.0062
IC	12	0.0243	0.0044	1.0527	0.996	0.0062
IC	13	0.0763	0.0055	1.1587	1.0055	0.0074
IC	1	0.0252	0.0043	1.0557	1.0023	0.0063
IC	2	0.0089	0.0043	1.0225	1.0034	0.007
IC	3	0.0744	0.0052	1.1523	0.9993	0.0074
IC	4	0.0181	0.0041	1.0557	1.0103	0.0066
IC	5	0.046	0.0049	1.0988	1.0138	0.0067
IC	6	0.0313	0.0041	1.0649	1.0021	0.0065
IC	7	0.0287	0.0046	1.0557	0.9978	0.0068
IC	8	0.0588	0.005	1.1301	1.0058	0.0067
IC	9	0.0339	0.0044	1.0741	1.0017	0.0059
