DIAG1	DIAG2	comparison                                                                                                 p1                                                                                                 p2      rg      se       z           p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
ANX	COG	ANX_by_COG	 /sumstats/ANGST_ANX_2016_munged.sumstats.gz  /sumstats/CTG_COG_2018_munged.sumstats.gz -0.2058  0.0801 -2.5689  0.0102  0.1954     0.0078  1.0522     0.0185   -0.0168       0.0076
ANX	ADHD	ANX_by_ADHD	 /sumstats/ANGST_ANX_2016_munged.sumstats.gz  /sumstats/PGC_ADHD_2017_munged.sumstats.gz  0.3282  0.1283  2.5584  0.0105  0.2345      0.017  1.0435     0.0128    0.0033       0.0073
ANX	ASD	ANX_by_ASD	 /sumstats/ANGST_ANX_2016_munged.sumstats.gz  /sumstats/PGC_ASD_2017_munged.sumstats.gz  0.2809  0.1442  1.9481  0.0514  0.2005      0.019  1.0071     0.0116   -0.0057       0.0076
ANX	PTSD	ANX_by_PTSD	 /sumstats/ANGST_ANX_2016_munged.sumstats.gz  /sumstats/PGC_PTSD_2017_munged.sumstats.gz -0.004  0.3408 -0.0117  0.9907  0.0983     0.0493  0.9973     0.0075    0.0098       0.0056
ANX	EDU	ANX_by_EDU	 /sumstats/ANGST_ANX_2016_munged.sumstats.gz  /sumstats/SSGAC_EDU_2018_munged.sumstats.gz -0.332  0.0846 -3.9255  8.6542e-05  0.1139     0.0038  1.0042      0.025   -0.0135        0.008
SCZ	ANX	SCZ_by_ANX	 /sumstats/CLOZUK_SCZ_2018_munged.sumstats.gz  /sumstats/ANGST_ANX_2016_munged.sumstats.gz  0.2822  0.0862  3.2725  0.0011  0.0775     0.0304  1.0025     0.0077    0.0178       0.0072
SCZ	COG	SCZ_by_COG	 /sumstats/CLOZUK_SCZ_2018_munged.sumstats.gz  /sumstats/CTG_COG_2018_munged.sumstats.gz -0.2222  0.0196 -11.346  7.7655e-30  0.1912     0.0067  1.0501     0.0138    -0.009       0.0081
SCZ	ADHD	SCZ_by_ADHD	 /sumstats/CLOZUK_SCZ_2018_munged.sumstats.gz  /sumstats/PGC_ADHD_2017_munged.sumstats.gz  0.1693  0.0331  5.1127  3.1756e-07  0.2367     0.0161   1.032     0.0106    0.0283       0.0084
SCZ	ASD	SCZ_by_ASD	 /sumstats/CLOZUK_SCZ_2018_munged.sumstats.gz  /sumstats/PGC_ASD_2017_munged.sumstats.gz  0.2383  0.0413  5.766  8.1173e-09  0.1947     0.0173  1.0082     0.0103    0.0169       0.0088
SCZ	BIP	SCZ_by_BIP	 /sumstats/CLOZUK_SCZ_2018_munged.sumstats.gz  /sumstats/PGC_BIP_2016_munged.sumstats.gz  0.6669  0.0213  31.2965  5.2096e-215  0.3443     0.0181  1.0224      0.011    0.1899        0.009
